GSFC Lab sample code,PI,Original PI Sample Label,Cruise Name,Sequential Sample Number,Indicate if filters are replicates,Volume filtered (ml),Station,Bottle Number,Sampling Depth (meters),Total Water Depth (meters),Name of Water Body,Water Type,collected with positive pressure or vaccuum,Year of Sample,Gregorian Month,Day of Gregorian Month,Sequential Day of Year,GMT Time,Longitude,Latitude,Filter type,Filter Diameter (mm),Filter storage before shipping to GSFC,date extracted (month/day/year),Vx (ml),[Tot_Chl_a],[Tot_Chl_b],[Tot_Chl_c],[Alpha_beta_Car],[But fuco],[Hex fuco],[Allo],[Diadino],[Diato],[Fuco],[Perid],[Zea],[MV_Chl_a],[DV_Chl_a],[Chlide_a],[MV_Chl _b],[DV_Chl_b],[Chl c12],[Chl_c3],[Lut],[Neo],[Viola],[Phytin_a],[Phide_a],[Pras],[Gyro],[TChl],[PPC],[PSC],[PSP],[TCaro],[TAcc],[TPg],[DP],[TAcc]/[Tchla],[PSC]/[TCaro],[PPC]/[TCaro],[TChl]/[TCaro],[PPC]/[Tpig],[PSP]/[TPg],[TChl a]/[TPig],comments
05-1583,"Montes, Enrique",WS16074_142,Walton Smith 16074,142,D,950,45,1,1,7,West Florida Shelf,Coastal/Oceanic,V,2016,Mar,16,76,23:16,-81.47066667,25.5835,GF/F,25 mm,-80C,4/18/16,2.798,1.675,0.053,0.277,0.099,0.075,0.102,0.006,0.166,0.017,0.587,0.021,0.308,1.595,-8888.000,0.080,0.053,-8888.000,0.196,0.081,-8888.000,0.011,0.024,0.026,0.054,0.023,-8888.000,2.005,0.596,0.785,2.790,1.381,1.711,3.386,1.152,1.02,0.57,0.43,1.45,0.18,0.82,0.49,
05-1584,"Montes, Enrique",WS16074_143,Walton Smith 16074,143,D,1000,45,1,1,7,West Florida Shelf,Coastal/Oceanic,V,2016,Mar,16,76,23:16,-81.47066667,25.5835,GF/F,25 mm,-80C,4/18/16,2.804,1.651,0.053,0.268,0.098,0.073,0.098,0.006,0.162,0.017,0.576,0.019,0.281,1.598,-8888.000,0.053,0.053,-8888.000,0.191,0.077,-8888.000,0.011,0.027,0.025,0.049,0.022,-8888.000,1.972,0.564,0.766,2.738,1.330,1.651,3.302,1.106,1.00,0.58,0.42,1.48,0.17,0.83,0.50,
05-1585,"Montes, Enrique",WS16074_148,Walton Smith 16074,148,D,1000,41,1,1,5,West Florida Shelf,Coastal/Oceanic,V,2016,Mar,17,77,1:35,-81.575,25.73333333,GF/F,25 mm,-80C,4/18/16,2.787,0.691,0.039,0.115,0.052,0.020,0.074,0.042,0.065,0.006,0.191,0.007,0.145,0.681,-8888.000,0.010,0.039,-8888.000,0.066,0.049,0.001,0.005,0.009,0.012,0.031,0.014,-8888.000,0.845,0.310,0.292,1.137,0.602,0.756,1.447,0.518,1.09,0.49,0.51,1.40,0.21,0.79,0.48,
05-1586,"Montes, Enrique",WS16074_149,Walton Smith 16074,149,D,1000,41,1,1,5,West Florida Shelf,Coastal/Oceanic,V,2016,Mar,17,77,1:35,-81.575,25.73333333,GF/F,25 mm,-80C,4/18/16,2.803,0.738,0.039,0.119,0.057,0.020,0.075,0.043,0.067,0.006,0.199,0.009,0.170,0.729,-8888.000,0.009,0.039,-8888.000,0.068,0.051,0.001,0.005,0.009,0.013,0.030,0.014,-8888.000,0.896,0.343,0.303,1.199,0.646,0.804,1.542,0.555,1.09,0.47,0.53,1.39,0.22,0.78,0.48,
05-1587,"Montes, Enrique",WS16074_154,Walton Smith 16074,154,D,1000,33,1,1,10,West Florida Shelf,Coastal/Oceanic,V,2016,Mar,17,77,5:14,-81.8,25.91166667,GF/F,25 mm,-80C,4/18/16,2.760,0.577,0.056,0.076,0.049,0.014,0.035,0.009,0.035,0.004,0.130,0.022,0.145,0.567,-8888.000,0.010,0.056,-8888.000,0.045,0.031,-8888.000,0.006,0.009,0.009,0.034,0.017,-8888.000,0.709,0.242,0.201,0.910,0.443,0.575,1.152,0.411,1.00,0.45,0.55,1.60,0.21,0.79,0.50,
05-1588,"Montes, Enrique",WS16074_155,Walton Smith 16074,155,D,1000,33,1,1,10,West Florida Shelf,Coastal/Oceanic,V,2016,Mar,17,77,5:14,-81.8,25.91166667,GF/F,25 mm,-80C,4/18/16,2.805,0.595,0.054,0.074,0.050,0.014,0.035,0.009,0.036,0.004,0.132,0.022,0.156,0.588,-8888.000,0.007,0.054,-8888.000,0.045,0.029,-8888.000,0.006,0.009,0.008,0.033,0.017,-8888.000,0.723,0.255,0.203,0.926,0.458,0.586,1.181,0.422,0.98,0.44,0.56,1.58,0.22,0.78,0.50,
05-1589,"Montes, Enrique",WS16074_160,Walton Smith 16074,160,D,1000,31,1,1,16,West Florida Shelf,Oceanic,V,2016,Mar,17,77,6:50,-81.94333333,25.74166667,GF/F,25 mm,-80C,4/18/16,2.780,0.932,0.063,0.146,0.051,0.022,0.034,0.010,0.097,0.006,0.324,0.019,0.100,0.880,-8888.000,0.052,0.063,-8888.000,0.086,0.060,0.001,0.007,0.010,0.010,0.013,0.013,-8888.000,1.141,0.264,0.399,1.540,0.663,0.872,1.804,0.572,0.94,0.60,0.40,1.72,0.15,0.85,0.52,
05-1590,"Montes, Enrique",WS16074_161,Walton Smith 16074,161,D,1000,31,1,1,16,West Florida Shelf,Oceanic,V,2016,Mar,17,77,6:50,-81.94333333,25.74166667,GF/F,25 mm,-80C,4/18/16,2.811,0.914,0.063,0.143,0.050,0.022,0.034,0.010,0.096,0.006,0.316,0.019,0.102,0.869,-8888.000,0.045,0.063,-8888.000,0.085,0.058,0.002,0.007,0.011,0.012,0.014,0.013,-8888.000,1.120,0.264,0.391,1.511,0.655,0.861,1.775,0.566,0.94,0.60,0.40,1.71,0.15,0.85,0.51,
05-1591,"Montes, Enrique",WS16074_166,Walton Smith 16074,166,D,1000,30,1,1,26,West Florida Shelf,Oceanic,V,2016,Mar,17,77,9:58,-82.21,25.40166667,GF/F,25 mm,-80C,4/18/16,2.788,0.297,0.018,0.030,0.037,0.005,0.023,0.003,0.012,0.001,0.047,0.006,0.129,0.293,-8888.000,0.004,0.018,-8888.000,0.016,0.014,0.001,0.002,0.005,0.004,0.012,0.006,-8888.000,0.345,0.182,0.081,0.426,0.263,0.311,0.608,0.231,1.05,0.31,0.69,1.31,0.30,0.70,0.49,
05-1592,"Montes, Enrique",WS16074_167,Walton Smith 16074,167,D,1000,30,1,1,26,West Florida Shelf,Oceanic,V,2016,Mar,17,77,9:58,-82.21,25.40166667,GF/F,25 mm,-80C,4/18/16,2.776,0.315,0.019,0.030,0.038,0.005,0.023,0.003,0.012,0.001,0.048,0.006,0.136,0.312,-8888.000,0.003,0.019,-8888.000,0.016,0.014,0.001,0.002,0.006,0.004,0.012,0.007,-8888.000,0.364,0.190,0.082,0.446,0.272,0.321,0.636,0.240,1.02,0.30,0.70,1.34,0.30,0.70,0.50,
